Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,99,77,48,40,31,26,20,26,38,59,89,110
Ljubljana center,140,131,106,88,79,73,60,70,94,111,136,165
Maribor center,115,101,85,65,54,47,46,48,52,59,92,83
Maribor Vrbanski p.,31,24,18,10,9,7,7,7,9,15,37,30
Celje,82,71,58,39,30,22,21,24,39,38,66,78
Trbovlje,45,41,33,30,26,26,19,20,26,42,45,44
Murska S. Rakičan,31,29,24,18,15,10,12,16,16,27,30,37
Nova Gorica,91,89,59,42,28,28,27,31,47,59,89,103
Koper,54,46,29,27,18,16,15,18,18,22,33,39
Vnajnarje,14,8,4,6,1,3,4,3,4,9,21,16
Zavodnje,15,17,10,7,7,6,6,9,9,8,23,13
Škale,15,17,15,7,2,6,5,3,6,11,18,16
Kovk,17,22,20,9,8,12,12,7,9,11,22,10
Dobovec,6,8,6,4,5,4,4,4,6,9,24,8
Sveti Mohor,9,14,10,5,3,6,6,4,4,7,19,17
