Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,113,112,42,39,24,26,26,25,43,55,86,89
Ljubljana center,147,152,119,113,77,86,69,73,100,103,112,137
Maribor center,101,87,63,44,36,43,34,33,47,66,95,80
Celje,89,77,49,38,20,16,16,19,32,50,82,89
Trbovlje,59,44,37,35,27,24,21,27,32,45,46,47
Murska S.-Rakičan,34,22,16,15,10,11,10,10,14,22,36,34
Nova Gorica,93,93,54,34,23,25,27,30,44,59,79,84
Koper,32,35,25,22,18,15,19,17,19,18,31,34
Vnajnarje,9,7,4,6,4,6,4,4,8,3,6,5
Zavodnje,13,9,3,2,3,3,4,3,4,8,9,6
Škale,19,12,9,8,7,8,8,3,6,7,11,8
Kovk,9,11,6,3,1,3,7,4,6,10,17,15
Sv.Mohor,8,6,6,6,2,2,4,3,3,2,14,11
