Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,50,42,39,23,19,19.0,17.0,18.0,28.0,48.0,60.0,95.0
LJ Celovška,83,74,70,45,40,36.0,37.0,41.0,54.0,82.0,104.0,155.0
MB Titova,60,75,60,40,39,41.0,37.0,34.0,52.0,61.0,74.0,72.0
MB Vrbanski,13,16,9,5,7,8.0,7.0,7.0,8.0,12.0,18.0,22.0
CE bolnica,61,55,44,25,16,16.0,21.0,19.0,30.0,43.0,53.0,80.0
MS Rakičan,23,21,17,12,9,10.0,7.0,9.0,15.0,16.0,24.0,34.0
NG Grčna,64,60,45,27,22,21.0,22.0,24.0,37.0,53.0,66.0,99.0
Deskle,16,17,14,11,10,10.0,12.0,9.0,12.0,14.0,15.0,20.0
Trbovlje,47,30,36,23,16,,,,,,,
Zagorje,56,49,43,29,24,22.0,22.0,24.0,31.0,39.0,50.0,61.0
Koper,28,33,22,15,11,14.0,11.0,13.0,14.0,14.0,21.0,35.0
Novo mesto,25,25,19,11,6,7.0,7.0,10.0,12.0,17.0,23.0,31.0
Šoštanj,17,20,15,10,8,8.0,9.0,8.0,11.0,12.0,19.0,26.0
Zavodnje,6,9,6,4,4,6.0,7.0,7.0,8.0,6.0,9.0,8.0
Škale,11,12,11,9,7,7.0,7.0,5.0,6.0,8.0,14.0,15.0
Mobilna TES,22,26,21,13,10,11.0,9.0,8.0,15.0,16.0,25.0,34.0
Sv. Mohor,10,7,6,4,2,3.0,2.0,3.0,6.0,7.0,10.0,14.0
LJ Center,96,87,88,54,49,76.0,50.0,55.0,75.0,91.0,94.0,160.0
Zadobrova,50,40,29,17,13,15.0,17.0,15.0,17.0,26.0,32.0,50.0
CE Gaji,50,36,32,19,16,16.0,15.0,12.0,15.0,24.0,36.0,61.0
MB Tezno,51,63,44,26,19,18.0,18.0,18.0,29.0,39.0,53.0,80.0
