Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bežigrad,102,49,40,22,18,16,12,13,22,51,47,50.0
LJ Celovška,155,83,70,46,41,37,30,32,49,72,78,90.0
MB Titova,82,68,60,45,42,42,36,34,40,60,63,74.0
MB Vrbanski,20,15,11,8,7,6,5,5,6,11,16,19.0
CE bolnica,82,61,49,25,23,20,18,18,25,40,49,57.0
MS Rakičan,31,18,17,9,9,6,6,6,9,18,23,26.0
NG Grčna,86,69,56,29,23,22,20,22,31,47,62,76.0
Zagorje,77,52,45,30,29,26,21,22,27,34,40,45.0
Koper,32,31,22,15,15,14,12,13,10,19,19,29.0
Novo mesto,30,23,18,11,8,7,7,7,9,15,23,25.0
Šoštanj,21,18,18,9,6,8,11,8,10,16,17,21.0
Zavodnje,8,6,10,6,7,6,4,3,3,4,7,10.0
Skale,13,10,11,6,4,4,5,5,5,7,9,15.0
Mobilna TES,32,25,28,13,11,13,11,10,13,27,20,25.0
Sv. Mohor,11,8,7,4,5,3,3,3,4,7,8,11.0
LJ Center,169,94,91,64,79,67,54,59,72,109,105,119.0
Zadobrova,88,42,28,17,12,12,15,12,16,31,40,47.0
CE Gaji,59,48,38,20,17,16,17,18,21,29,34,41.0
MB Tezno,111,50,44,22,17,13,14,16,32,32,53,
