Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bežigrad,63.0,67.0,43.0,32.0,22.0,21.0,22.0,23.0,39.0,52.0,74.0,63.0
Maribor,116.0,94.0,68.0,52.0,49.0,43.0,42.0,41.0,57.0,76.0,103.0,116.0
Celje,68.0,56.0,45.0,28.0,19.0,20.0,22.0,20.0,32.0,47.0,67.0,68.0
Trbovlje,40.0,45.0,50.0,35.0,24.0,24.0,26.0,23.0,31.0,44.0,59.0,40.0
Murska S.-Rakičan,47.0,28.0,21.0,20.0,14.0,13.0,15.0,15.0,18.0,25.0,34.0,47.0
Nova Gorica,73.0,57.0,36.0,30.0,24.0,25.0,27.0,26.0,34.0,50.0,66.0,73.0
Vnajnarje,10.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,10.0
EIS-Celje,,,,,,,,,,,,
Zavodnje,14.0,13.0,8.0,13.0,5.0,3.0,5.0,10.0,7.0,19.0,9.0,14.0
Škale,37.0,13.0,9.0,8.0,7.0,6.0,7.0,9.0,7.0,10.0,15.0,37.0
Kovk,15.0,12.0,11.0,5.0,8.0,23.0,13.0,13.0,15.0,17.0,18.0,15.0
EIS TEB (Sv.Mohor),9.0,8.0,12.0,6.0,6.0,6.0,7.0,4.0,4.0,6.0,6.0,9.0
