Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,107.0,73.0,50.0,32.0,30.0,23.0,23.0,29.0,44.0,45.0,58.0,75.0
Maribor,98.0,79.0,70.0,46.0,48.0,41.0,37.0,36.0,48.0,61.0,84.0,85.0
Celje,85.0,69.0,48.0,33.0,24.0,22.0,20.0,25.0,37.0,38.0,52.0,71.0
Trbovlje,72.0,69.0,58.0,53.0,47.0,39.0,41.0,44.0,52.0,51.0,52.0,72.0
Nova Gorica,64.0,51.0,47.0,34.0,30.0,24.0,21.0,23.0,36.0,50.0,59.0,78.0
Murska S.-Rakičan,39.0,29.0,22.0,13.0,14.0,13.0,14.0,15.0,17.0,17.0,22.0,26.0
Zavodnje,5.0,8.0,13.0,4.0,9.0,8.0,5.0,4.0,7.0,4.0,8.0,10.0
Škale,18.0,14.0,13.0,10.0,7.0,7.0,6.0,7.0,8.0,9.0,12.0,17.0
Kovk,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,14.0
Vnajnarje,11.0,7.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,10.0
EIS Celje,,,,,,,,,,,,
