Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
LJ Bezigrad,77,58,44,30.0,26,22,21.0,25.0,35.0,54,41,108
Maribor,87,61,62,38.0,40,36,30.0,33.0,35.0,36,78,112
Celje,73,62,51,33.0,24,22,20.0,23.0,35.0,57,50,118
MS Rakičan,28,21,18,12.0,14,11,11.0,12.0,14.0,20,22,49
Nova Gorica,102,48,30,31.0,30,27,28.0,33.0,34.0,51,37,100
Trbovlje,42,35,30,25.0,21,15,12.0,13.0,16.0,35,30,56
Zagorje,43,49,38,26.0,23,22,19.0,19.0,28.0,40,40,56
Koper,30,19,27,24.0,17,15,14.0,16.0,18.0,20,22,36
Šoštanj,35,26,16,14.0,15,22,21.0,26.0,18.0,15,17,27
Zavodnje,9,8,9,3.0,5,3,4.0,5.0,5.0,7,9,9
Škale,14,14,14,6.0,5,3,2.0,3.0,3.0,6,10,15
Sv. Mohor,10,11,10,4.0,5,4,4.0,4.0,6.0,8,10,15
LJ Center,153,150,125,100.0,84,71,,,,100,109,194
CE Gaji,65,56,54,43.0,35,18,24.0,37.0,37.0,43,38,102
MB Vrbanski,31,22,28,,11,10,9.0,8.0,7.0,12,27,42
